BUSName,BUSStreetName,BUSPostalCode,BUSCityName,BUSCode,COM_GRPName,BUSCountryCode,BUSCountryName
Zuf Globus Ltd.,"North Industrial Zone Building, 67 Kiryat Shmona 10200",Kiryat Shmona,HaZafon,IL00001329,Unique Commodity Code Group for  04090000,IL,Israel
Azuma-Cho Gyogyo Kyodo Kumiai Marine Products Processing Factory,"1229 Syoura, Azuma-Cho",Izumi,Kagoshima,4656001,FFP (fishery products),JP,Japan
Bukang,.,Cheongdo-Gun,Gyeongsangbuk-do,KORP-153,Smoked FFP,KR,"Korea, Republic Of"
Sea Horse Corporation Sdn. Bhd.,.,Kuching,Sarawak,31,FFP (fishery products),MY,Malaysia
Empacadora De Carnes De Fresnillo S.A De CV,"AVE. PLATEROS NO.708 ZACATECAS, FRESNILLO.  MEXICO",Fresnillo,Zacatecas ,E-42,"Horse meat, CN 0205",MX,Mexico
"Subproductos Animales De México, S.A. De C.V.","FUNDIDORES NO. 103, PARQUE INDUSTRIAL CHICHIMECO, JESÚS MARÍA, AGUASCALIENTES, C.P. 20900",Jesus Maria,Aguascalientes,838,"Petfood, CN 230910",MX,Mexico
BOURASS MOHAMED LARBI,PORT DE PECHE TANGER,Tanger,Tanger - Tétouan - Al Hoceima,2152,FFP (fishery products),MA,Morocco
Gel Fish,BP 52 Port de pêche Laâyoune,Laâyoune,Laâyoune-Sakia El Hamra,2604,FFP (fishery products),MA,Morocco
LA REINA DEL COSTA,"KHAILIL 2, Rue 4, N° 97 LA VILLETTE",Casablanca,Grand Casablanca - Settat,1393,heavy metal susceptible fish,MA,Morocco
Nayat (Tanpeche),Port de pêche de Tanger,Tanger,Tanger - Tétouan - Al Hoceima,SO 2104,"Shrimps, CN 0306",MA,Morocco
Sam-Pam,"19, bd al aaqaba,quartier industriel",Essaouira,Marrakech - Safi,2833,"Fish, fresh/chilled, CN 0302",MA,Morocco
Sicogetram,.,Agadir,Souss - Massa,3976,FFP (fishery products),MA,Morocco
Tajmid Fish,ZI Moulay Rachid Rue 3 Lot 124 Casablanca,Casablanca,Grand Casablanca - Settat,3746,heavy metal susceptible fish,MA,Morocco
Brukarros Meat Processors (Pty) Ltd,.,Keetmanshoop,Karas,NA20,"Wild game meat, CN 02089030",NA,Namibia
"Marpesca Packers, S.A.",.,Panama,Cocle,192,"FFP, excluding molluscs and crustaceans",PA,Panama
CONDAK,.,Dakar,Dakar,015/94/CE,"FFP, excluding molluscs and crustaceans",SN,Senegal
Veterinarski Zavod Subotica,Beogradski put 23,Subotica,Severno-ba?ki okrug,RS 34-001,Dog chews,RS,Serbia
Ubuntu (Tresso Trading 626 (Pty) Ltd),.,Cape Town,Western Cape,YJ,"heavy metals susceptible fish, molluscs, crustaceans",ZA,South Africa
Tarek Shanun,.,Aleppo,Halab,181,Unique Commodity Code Group for  05040000,SY,Syrian Arab Republic
Soon Yi Superfrozen Company Limited,39 Yugang South 1st Rd,Qianzhen District,Kaohsiung City,7F3F001,"heavy metals susceptible fish, molluscs, crustaceans",TW,Taiwan
"Asian Alliance International Co., Ltd.",.,Muang Samudh Sagorn,Samut Sakhon,2071,"Preserved tuna, CN 1604",TH,Thailand
"Better Foods Co., Ltd.",4/2 MOO7 SOI SUKHAPIBAL2 BUDHAMONTHON5 ROAD OMNOI  ,Krathumban,Samut Sakhon,10,Poultry meat preparations,TH,Thailand
"Chaijinda Seafood Co., Ltd.",..,Muang,Samut Sakhon,3076,Prepared fish 1604,TH,Thailand
"CPF (Thailand) Public Co., Ltd.","150 Moo 7, Tandiew",Kaeng Khoi,Saraburi,23,Fresh poultry meat,TH,Thailand
"CPF (Thailand) Public Co., Ltd.","150 Moo 7, Tandiew",Kaeng Khoi,Saraburi,23,Poultry meat preparations,TH,Thailand
"CPF (Thailand) Public Co., Ltd.","333,333/1-2 Moo 9, Sikhiu-Det Udom Road, Thayiem",Chokchai,Nakhon Ratchasima,139,Poultry meat preparations,TH,Thailand
GFPT Nichirei (Thailand) Company Limited,"198 Moo 4, Hang Sung",Nong Yai,Chon Buri,201,PM (fresh meat of poultry and lagomorphs),TH,Thailand
"Leamthong Poultry Co. , Ltd",1/10 moo 8 nakhonratchasima thailand,Sung Neon,Nakhon Ratchasima,70,Poultry meat preparations,TH,Thailand
"MMP INTERNATIONAL Co.,Ltd.","19/8 MOO 6,TAMBON NADEE,AMPHOE MUANG ,SAMUTSAKORN 74000",Amphoe Muang,Samut Sakhon,VCN.9,Canned petfood 2309 10,TH,Thailand
"P.N. Marine Foods Products Co., Ltd.","120/9 Moo7, Jedsada-Sundab Kokkharm",Mueang Samut Sakhon,Samut Sakhon,3056,FFP (fishery products),TH,Thailand
"PANUS POULTRY GROUP CO., LTD.","1/1 MOO 5, T. MONNANG ",Phanat Nikhom,Chon Buri,79,Poultry meat preparations,TH,Thailand
RKC TANNERY COMPANY LIMITED,"339/1 MOO 2, PUTTHARAKSA ROAD, TAIBAN",Muang,Samut Prakan,VCN. 26,Dog chews,TH,Thailand
"Sea Horse (Canning) Intertrade Co., Ltd.",.,Muang,Songkhla,2009,"Preserved tuna, CN 1604",TH,Thailand
"Siam International Food Co., Ltd.",.,Chana,Songkhla,2072,Prepared fish 1604,TH,Thailand
"Sun Food International Co., Ltd.",69 MOO 6 Muak Lek-Wang Muang Rd. Kampran,Wang Muang,Saraburi,25,Poultry meat preparations,TH,Thailand
"Thai Poultry Group Co., Ltd.",.,Si Racha,Chon Buri,109,Poultry meat preparations,TH,Thailand
"Thoreka Co., Ltd.",.,Muang,Samut Sakhon,3132,FFP (fishery products),TH,Thailand
"Two Plus Foods Industrial Co., Ltd.",10/2 Mu4 Thasai,Muang,Samutsakorn,2079,FFP (fishery products),TH,Thailand
"WINNER STORE Co., Ltd","339/3 M.2 Puttharaksa Rd., Taiban, Muang Samutprakarn",Muang,Samut Prakan,VCN.117,Uncanned petfood 2309 10,TH,Thailand
"WINNER STORE Co., Ltd","339/3 M.2 Puttharaksa Rd., Taiban, Muang Samutprakarn",Muang,Samut Prakan,VCN.117,Unique Commodity Code Group for  4205,TH,Thailand
Ben Ayed Distribution Des Produits De La Mer,Port de Peche de Zarzouna,Zarzouna,Bizerte,210,"heavy metals susceptible fish, molluscs, crustaceans",TN,Tunisia
Complexe Frigorifique El Mustapha,.,Teboulba,Monastir,618,"Shrimps, CN 0306",TN,Tunisia
